,,REPORTE ANÁLISIS DE CABÓN,,,, Pag. 1 de 1 ,,,,,,,,
,,,,,,QF13/40Z/010B,,,,,,,,
,,,,,,24-feb-10,,,,,,,,
CONTROL CARBON PROMEDIO 1,,,,,,,,,,,,,,
MUESTRA,,ANALISIS  27/04/2015 AL 07/05/2015,,,,,,,,,,,,
,,% Humedad,% Humedad,Ceniza,Mat. Volatil,Azufre,Poder calorífico,,,,,,,
,,Residual,Superficial,% CSA,% CSA,% CSA,Kcal/Kg,,,,,,,
87486176,87486176,2.86,4.40,19.69,35.56,1.14,6170,,,,,,,
24738696,24738696,2.05,4.43,23.29,30.67,1.14,6073,,,,,,,
98464584,98464584,1.94,3.60,17.62,35.58,1.47,6574,,,,,,,
25387308,25387308,2.84,3.69,18.85,37.53,1.60,6299,,,,,,,
30429023,30429023,2.30,3.78,14.32,38.12,1.56,6786,,,,,,,
64930893,64930893,1.84,3.32,16.03,35.71,1.24,6790,,,,,,,
64366276,64366276,1.96,4.31,14.81,38.66,1.70,6723,,,,,,,
51540666,51540666,1.31,3.13,17.80,35.97,1.61,6697,,,,,,,
84354878,84354878,1.58,4.54,15.88,36.21,1.26,6789,,,,,,,
32025719,32025719,1.67,3.56,12.86,38.44,1.39,7042,,,,,,,
80307842,80307842,1.31,3.57,16.25,34.53,0.95,6949,,,,,,,
61517556,61517556,4.95,7.73,15.18,39.10,1.67,6268,,,,,,,
26221950,26221950,6.17,7.30,17.13,38.43,1.54,5901,,,,,,,
21861053,21861053,4.96,7.19,15.69,39.12,1.40,6239,,,,,,,
93755618,93755618,2.23,2.23,14.49,39.18,1.06,6829,,,,,,,
59088924,59088924,1.88,2.15,17.59,37.16,1.57,6595,,,,,,,
18690670,18690670,1.52,6.53,11.48,32.16,1.08,7261,,,,,,,
82365040,82365040,1.52,3.90,16.10,37.08,1.28,6707,,,,,,,
31571755,31571755,2.12,4.47,16.04,38.22,1.46,6547,,,,,,,
83061726,83061726,1.27,3.69,16.10,34.68,1.25,6887,,,,,,,
87068372,87068372,1.87,5.14,17.55,37.34,1.29,6543,,,,,,,
51790058,51790058,2.36,3.98,12.51,39.54,1.15,6878,,,,,,,
31819439,31819439,2.45,3.61,16.71,38.62,1.35,6498,,,,,,,
99288326,99288326,2.88,5.52,17.65,37.80,1.21,6367,,,,,,,
54353367,54353367,4.30,7.60,15.29,39.28,1.49,6340,,,,,,,
12462581,12462581,1.12,2.97,9.98,35.12,1.26,7486,,,,,,,
79119485,79119485,2.60,9.67,17.96,38.93,1.56,6225,,,,,,,
74771654,74771654,1.84,4.46,18.59,37.21,1.14,6462,,,,,,,
16827415,16827415,1.99,3.45,22.14,35.48,1.37,6118,,,,,,,
35209643,35209643,1.57,3.13,19.68,36.53,1.32,6488,,,,,,,
41362180,41362180,1.30,2.00,12.70,38.09,1.22,7199,,,,,,,
58539530,58539530,1.78,3.61,16.15,37.65,1.14,6765,,,,,,,
78206117,78206117,2.35,4.06,13.16,39.00,0.96,6838,,,,,,,
23195949,23195949,1.23,1.85,13.03,37.90,1.29,7201,,,,,,,
90214643,90214643,1.49,4.13,19.10,35.64,1.44,6537,,,,,,,
35538065,35538065,1.70,2.73,9.91,35.74,1.26,7079,,,,,,,
29133141,29133141,1.72,2.41,12.29,40.15,1.74,7374,,,,,,,
29711338,29711338,1.52,1.79,9.76,35.28,1.19,7458,,,,,,,
57074287,57074287,1.22,1.90,10.07,33.49,1.10,7517,,,,,,,
62622666,62622666,1.83,2.70,9.86,35.02,1.28,7380,,,,,,,
78625014,78625014,1.73,2.96,13.76,32.27,1.54,7085,,,,,,,
22035478,22035478,2.15,2.11,15.32,37.77,1.02,6753,,,,,,,
72686820,72686820,5.27,6.84,15.23,38.18,1.31,6218,,,,,,,
31255602,31255602,1.63,3.15,17.40,35.28,1.47,6708,,,,,,,
53738903,53738903,4.68,7.52,16.38,38.22,1.72,6223,,,,,,,
45903894,45903894,3.93,5.61,17.63,35.00,1.36,6275,,,,,,,
18690670E1,18690670E1,1.20,6.41,12.74,31.53,0.98,7221,,,,,,,
18690670E2,18690670E2,1.28,5.86,9.65,31.44,1.23,7523,,,,,,,
