,,REPORTE ANÁLISIS DE CABÓN,,,, Pag. 1 de 1 ,,,,,,,,
,,,,,,QF13/40Z/010B,,,,,,,,
,,,,,,24-feb-10,,,,,,,,
CONTROL CARBON PROMEDIO 1,,,,,,,,,,,,,,
MUESTRA,,ANALISIS  09 AL 22 DE JUNIO DE 2015,,,,,,,,,,,,
,,% Humedad,% Humedad,Ceniza,Mat. Volatil,Azufre,Poder calorífico,,,,,,,
,,Residual,Superficial,% CSA,% CSA,% CSA,Kcal/Kg,,,,,,,
97432221,97432221,1.34,1.91,13.57,37.97,1.27,7126,,,,,,,
10732751,10732751,2.24,3.37,13.81,34.48,1.19,6950,,,,,,,
33849337,33849337,3.35,4.29,17.29,39.15,1.46,6254,,,,,,,
65217343,65217343,2.29,3.70,16.43,37.37,1.42,6603,,,,,,,
98036009,98036009,2.70,2.76,10.76,39.89,1.15,7030,,,,,,,
66424433,66424433,1.75,2.70,14.60,36.74,1.03,6924,,,,,,,
33087555,33087555,1.98,4.42,13.79,37.85,1.25,6922,,,,,,,
71539455,71539455,2.02,4.20,16.54,33.42,1.14,6677,,,,,,,
58235442,58235442,1.90,2.90,12.20,38.48,1.30,7139,,,,,,,
30085999,30085999,1.45,3.08,17.10,35.68,1.32,6747,,,,,,,
51636679,51636679,2.44,3.07,15.50,38.18,1.30,6645,,,,,,,
96307640,96307640,2.53,3.29,13.09,39.96,1.53,6796,,,,,,,
35720425,35720425,0.79,1.20,16.07,31.85,0.93,7113,,,,,,,
78755098,78755098,1.61,3.35,13.18,37.93,1.38,7032,,,,,,,
29343312,29343312,2.38,3.79,14.54,39.52,1.70,6706,,,,,,,
17089214,17089214,1.62,3.15,11.64,37.74,1.52,7199,,,,,,,
58666525,58666525,2.02,4.30,13.27,39.35,1.90,6913,,,,,,,
35755610,35755610,2.32,4.22,14.60,33.34,1.18,6866,,,,,,,
75447146,75447146,2.40,4.46,17.43,36.97,1.70,6485,,,,,,,
73639903,73639903,3.66,4.84,15.10,35.65,1.18,6531,,,,,,,
30708859,30708859,3.69,4.19,12.53,38.31,1.28,6613,,,,,,,
21839581,21839581,3.73,8.45,14.79,38.17,1.39,6409,,,,,,,
24489204,24489204,1.82,4.83,12.23,37.90,1.45,7101,,,,,,,
76636538,76636538,2.44,5.47,12.38,38.77,1.30,6890,,,,,,,
67304272,67304272,1.58,3.42,16.42,36.64,1.00,6806,,,,,,,
44563986,44563986,1.65,2.90,15.85,36.59,1.11,6829,,,,,,,
62252870,62252870,4.56,5.37,15.32,38.63,1.05,6333,,,,,,,
93285849,93285849,0.79,0.95,14.33,33.72,0.82,7280,,,,,,,
74909198,74909198,1.89,2.64,12.68,35.99,0.86,7119,,,,,,,
41447087,41447087,0.83,1.28,16.49,33.26,0.90,7010,,,,,,,
23070060,23070060,1.81,2.18,14.32,36.74,1.32,6908,,,,,,,
72870396,72870396,2.97,3.54,17.21,37.21,1.36,6419,,,,,,,
30033714,30033714,2.03,3.92,15.14,36.15,1.25,6814,,,,,,,
54878486,54878486,2.44,8.50,28.06,29.64,1.36,5594,,,,,,,
82218310,82218310,1.91,2.80,13.14,38.02,1.52,6987,,,,,,,
13886595,13886595,3.93,7.17,19.40,35.77,1.66,6087,,,,,,,
63861663,63861663,4.01,6.60,15.93,36.57,1.41,6414,,,,,,,
54904283,54904283,2.16,3.27,12.27,37.05,1.41,7082,,,,,,,
51774130,51774130,5.48,7.35,15.85,38.22,2.30,6130,,,,,,,
47210422,47210422,1.48,2.45,12.81,37.53,1.26,7181,,,,,,,
42412402,42412402,4.23,6.51,17.01,36.30,1.31,6245,,,,,,,
73749937,73749937,1.99,3.47,13.08,35.92,1.38,7060,,,,,,,
43628844,43628844,2.00,2.50,14.53,36.92,1.01,6926,,,,,,,
77194166,77194166,2.03,4.78,17.66,36.75,1.28,6529,,,,,,,
95675405,95675405,1.52,3.18,13.62,36.78,1.10,7039,,,,,,,
59772822,59772822,2.24,5.29,16.28,36.02,1.18,6637,,,,,,,
42594592,42594592,2.22,3.48,13.57,39.63,1.28,6838,,,,,,,
74548238,74548238,1.84,4.43,16.36,36.19,1.26,6767,,,,,,,
16381497,16381497,1.87,3.50,16.79,36.32,1.38,6692,,,,,,,
16828122,16828122,1.43,3.43,15.65,34.90,1.13,6986,,,,,,,
34650985,34650985,1.67,4.14,19.76,34.36,1.61,6469,,,,,,,
29749789,29749789,2.74,3.68,16.16,33.26,1.08,6646,,,,,,,
43001743,43001743,2.54,4.61,13.84,34.37,1.16,6891,,,,,,,
50269985,50269985,5.72,6.05,17.41,37.33,1.63,6018,,,,,,,
63978923,63978923,1.48,3.20,13.56,36.19,1.16,7123,,,,,,,
54904283E1,54904283E1,2.33,3.35,11.87,37.73,1.34,7117,,,,,,,
73749937E1,73749937E1,1.88,2.77,10.66,38.22,1.33,7279,,,,,,,
24489204E1,24489204E1,1.90,3.74,13.53,36.03,1.25,7075,,,,,,,
