,,REPORTE ANÁLISIS DE CABÓN,,,,Pag. 1 de 1,
,,,,,,QF13/40Z/010B,
,,,,,,40233,
CONTROL CARBON PROMEDIO 1,,,,,,,
MUESTRA,,ANALISIS  27/05/2015 AL 05/06/2015,,,,,
,,% Humedad,% Humedad,Ceniza,Mat. Volatil,Azufre,Poder calorífico
,,Residual,Superficial,% CSA,% CSA,% CSA,Kcal/Kg
87427123,87427123,1.99,2.99,12.58,38.48,1.35,6984
19560953,19560953,2.49,7.32,11.57,41.02,1.43,6955
97011395,97011395,1.98,3.02,12.52,37.9,1.44,7074
64833656,64833656,2.66,3.12,9.49,40.88,1.24,7166
47520216,47520216,3.03,4.27,14.87,38.79,1.38,6547
60020790,60020790,2.29,2.68,14.28,38.51,1.19,6832
49769211,49769211,1.82,4.41,19.94,33.57,1.32,6411
65364199,65364199,0.97,1.6,22.43,29.93,0.91,6472
19626072,19626072,7.46,5.85,15.97,37.55,1.67,5978
25130792,25130792,1.76,2.56,16.1,35.43,1.25,6816
29707482,29707482,4.34,5.43,13.94,34.96,1.21,6588
74759631,74759631,2.16,3.17,15.6,32.65,1.69,6860
53651098,53651098,3.3,5.45,15.44,38.38,1.7,6507
21078799,21078799,2.12,3.4,16.26,34.09,1.22,6678
46095819,46095819,3.46,6.19,17.41,37.22,1.72,6306
41001997,41001997,2.41,3.68,12.9,36.2,1.39,6956
80489696,80489696,1.72,4.11,17.65,35.38,1.32,6677
30079486,30079486,0.85,2,21.43,29.6,1.02,6591
25558029,25558029,2.08,3.91,20.13,36.64,1.58,6266
78500215,78500215,1.91,3.35,14.29,33.01,1.23,7032
46177555,46177555,2.6,1.54,12.99,39.41,1.48,6856
38937135,38937135,1.67,3.58,15.14,35.37,1.52,6958
77429018,77429018,5.54,7.11,15.18,36.82,1.96,6288
13958882,13958882,2.19,3.8,13.67,32.73,1.1,7056
15287019,15287019,2.9,2.4,9.09,40.91,1.21,7213
48324942,48324942,7.3,6.98,14.43,39.47,1.36,5975
18010805,18010805,5.76,6.88,15.7,39.17,1.68,6185
49648738,49648738,2.58,2.61,16.41,35.62,1.28,6580
35713533,35713533,4.34,8.24,18.92,35.68,1.75,6046
55135546,55135546,4.07,6.72,15.71,36.63,1.81,6455
13073169,13073169,1.57,2.88,10.02,36.51,1.4,7462
62568213,62568213,1.73,3.37,11.69,36.5,1.3,7259
27101830,27101830,2.14,3.65,17.38,31.17,1.05,6724
18689152,18689152,2.14,3.12,12.44,35.92,1.57,7116
90668180,90668180,2.09,1.86,10.09,40.93,1.84,7275
72321701,72321701,2.63,2.09,13.05,38.8,1.12,6945
84055629,84055629,2.26,3.93,14.41,37,1.02,6884
54379038,54379038,1.95,2.38,13.24,37.55,1.33,7004
10703249,10703249,4.07,4.9,18.15,36.67,1.8,6271
61061817,61061817,2.46,2.41,10.58,33.8,1.04,7273
27188285,27188285,1.86,3.67,14.93,37.45,1.16,6866
28588349,28588349,2.03,4.05,14.53,39.21,1.23,6826
38670722,38670722,4.31,7.18,17.63,38.23,1.65,6172
87431928,87431928,4.38,7.4,15.51,38.65,1.38,6365
15171091,15171091,1.49,4.49,15.27,35.66,1.63,6996
95010873,95010873,4.36,6.79,15.1,39.44,1.57,6396
43446702,43446702,2.71,5.15,16.12,37.25,1.47,6486
15842744,15842744,2.35,4.87,18.28,34.7,1.19,6467
76102006,76102006,1.54,4.07,15.41,34.68,1.02,6972
72964006,72964006,2.36,3.2,16.41,38.2,1.15,6598
