,,REPORTE ANÁLISIS DE CABÓN,,,, Pag. 1 de 1 ,,,,,,,,
,,,,,,QF13/40Z/010B,,,,,,,,
,,,,,,24-feb-10,,,,,,,,
CONTROL CARBON POMEDIO 1,,,,,,,,,,,,,,
MUESTRA,,ANALISIS  24/06/2015 07/07/2015,,,,,,,,,,,,
,,% Humedad,% Humedad,Ceniza,Mat. Volatil,Azufre,Poder calorífico,,,,,,,
,,Residual,Superficial,% CSA,% CSA,% CSA,Kcal/Kg,,,,,,,
37426139,37426139,1.65,2.82,13.47,36.39,0.92,7061,,,,,,,
20735874,20735874,0.81,0.90,15.36,32.38,0.81,7182,,,,,,,
98896205,98896205,1.43,2.81,12.05,38.05,1.22,7264,,,,,,,
61688718,61688718,2.35,4.59,13.13,37.95,1.16,6923,,,,,,,
68897667,68897667,2.33,3.82,11.79,38.88,1.35,7045,,,,,,,
72674073,72674073,2.22,2.55,15.72,32.82,1.15,6837,,,,,,,
94747589,94747589,2.50,2.95,12.85,38.43,1.43,6878,,,,,,,
31002224,31002224,2.57,3.10,11.06,38.78,1.72,7086,,,,,,,
66829628,66829628,2.24,3.65,15.03,38.85,1.52,6684,,,,,,,
23166952,23166952,1.71,3.28,13.28,37.55,1.19,7027,,,,,,,
99553011,99553011,1.72,2.52,14.24,38.15,1.67,6927,,,,,,,
49922984,49922984,1.61,3.13,16.90,35.67,1.25,6754,,,,,,,
63551025,63551025,2.05,2.98,13.67,37.53,1.20,6986,,,,,,,
20779006,20779006,1.98,4.75,15.17,33.46,1.24,6799,,,,,,,
34466732,34466732,1.97,3.27,17.30,36.16,1.21,6662,,,,,,,
50382832,50382832,2.11,3.10,14.73,37.50,1.33,6860,,,,,,,
14054628,14054628,2.46,4.91,15.19,37.26,1.14,6619,,,,,,,
72014987,72014987,2.59,4.47,16.92,38.05,1.47,6488,,,,,,,
50374597,50374597,2.70,4.27,12.52,39.19,1.89,6910,,,,,,,
41461193,41461193,2.57,3.73,11.80,39.48,1.89,6994,,,,,,,
40814391,40814391,3.46,7.55,17.94,36.33,1.80,6201,,,,,,,
60581854,60581854,1.65,2.87,11.06,37.54,0.91,7247,,,,,,,
57902559,57902559,3.45,6.56,16.67,38.23,1.17,6334,,,,,,,
60843003,60843003,3.43,6.96,14.74,39.17,1.37,6477,,,,,,,
81852973,81852973,2.55,5.05,14.91,39.46,1.73,6614,,,,,,,
53728620,53728620,1.47,5.29,14.54,35.75,1.26,7027,,,,,,,
62769018,62769018,1.81,2.78,15.00,36.74,1.57,6871,,,,,,,
49779779,49779779,1.64,3.94,18.28,32.13,1.18,6702,,,,,,,
93914129,93914129,2.10,4.49,11.58,37.74,1.31,7133,,,,,,,
49001476,49001476,2.28,3.96,13.11,37.23,1.55,6979,,,,,,,
98280971,98280971,1.52,3.19,15.25,33.90,0.89,6959,,,,,,,
35892482,35892482,2.12,3.07,13.56,34.68,1.34,7001,,,,,,,
95662293,95662293,1.12,2.17,15.92,33.02,1.07,6979,,,,,,,
49313126,49313126,1.26,3.07,14.53,36.66,1.31,7050,,,,,,,
55916054,55916054,2.43,4.61,18.80,37.45,1.53,6322,,,,,,,
72135083,72135083,2.05,4.57,16.74,32.52,1.32,6723,,,,,,,
83903083,83903083,5.42,6.31,15.23,38.89,1.44,6185,,,,,,,
10149539,10149539,2.84,4.20,15.07,37.66,1.47,6565,,,,,,,
13272021,13272021,3.78,5.78,13.57,39.19,1.40,6600,,,,,,,
79892880,79892880,2.14,3.87,13.83,37.79,1.19,6896,,,,,,,
86593265,86593265,2.10,3.01,13.13,37.76,1.53,6972,,,,,,,
92001846,92001846,1.87,2.82,14.15,35.21,1.20,6972,,,,,,,
34220501,34220501,1.88,3.01,13.96,33.65,1.19,7040,,,,,,,
19747422,19747422,1.77,4.32,10.40,39.10,1.44,7293,,,,,,,
74159438,74159438,4.20,7.20,16.23,38.46,1.49,6256,,,,,,,
90965843,90965843,2.05,3.47,13.54,36.92,1.04,6978,,,,,,,
54137632,54137632,2.27,5.32,13.21,38.66,1.25,6893,,,,,,,
26000604,26000604,2.92,3.45,11.99,39.67,1.37,6908,,,,,,,
33067631,33067631,2.89,3.76,14.97,37.13,1.11,6624,,,,,,,
37971113,37971113,3.28,4.47,16.69,37.17,1.65,6441,,,,,,,
41129776,41129776,2.25,3.24,13.52,34.78,1.26,6982,,,,,,,
70236064,70236064,2.60,3.70,14.17,37.27,1.33,6826,,,,,,,
68217972,68217972,1.90,3.32,17.13,31.64,1.15,6749,,,,,,,
30265219,30265219,2.02,3.82,18.03,35.60,1.19,6575,,,,,,,
96451899,96451899,3.22,4.71,14.41,38.45,1.31,6597,,,,,,,
76275276,76275276,3.99,6.30,16.11,37.24,1.20,6369,,,,,,,
41369062,41369062,2.06,2.77,15.71,35.65,1.08,6816,,,,,,,
13598603,13598603,1.63,3.64,11.60,35.61,1.05,7210,,,,,,,
90327796,90327796,5.66,7.66,16.64,38.71,1.72,6047,,,,,,,
42363649,42363649,2.12,3.16,14.79,34.07,1.20,6915,,,,,,,
47351784,47351784,2.54,3.53,13.78,38.78,1.35,6807,,,,,,,
91914655,91914655,2.44,2.51,14.75,38.59,1.38,6729,,,,,,,
49000794,49000794,1.63,3.02,15.96,32.79,0.96,6916,,,,,,,
49313126E1,49313126E1,1.49,2.24,14.01,38.07,1.37,7072,,,,,,,
